1020.0000	93209803.487053	-1.868473018014
1080.0000	93209689.001724	-1.946667098258
1140.0000	93209570.010136	-2.018704194249
1200.0000	93209446.879755	-2.084624584267
1260.0000	93209319.976572	-2.144492604921
1320.0000	93209189.659902	-2.198393411056
1380.0000	93209056.286367	-2.246429998102
1440.0000	93208920.203441	-2.288720332559
1500.0000	93208781.752161	-2.325395032565
1560.0000	93208641.265606	-2.356594918237
1620.0000	93208499.067373	-2.382468768946
1680.0000	93208355.472715	-2.403171281182
1740.0000	93208210.787041	-2.418861772359
1800.0000	93208065.306304	-2.429702162228
1860.0000	93207919.316497	-2.435855842983
1920.0000	93207773.094080	-2.437486531468
1980.0000	93207626.905178	-2.434757202421
2040.0000	93207481.006804	-2.427829245002
2100.0000	93207335.646593	-2.416861884281
2160.0000	93207191.061474	-2.402011253693
2220.0000	93207047.479809	-2.383430192116
2280.0000	93206905.121369	-2.361267859529
2340.0000	93206764.196311	-2.335669304969
2400.0000	93206624.906911	-2.306775270557
2460.0000	93206487.446652	-2.274722121572
2520.0000	93206352.000727	-2.239641700956
2580.0000	93206218.747415	-2.201661235093
2640.0000	93206087.857011	-2.160903332006
2700.0000	93205959.492238	-2.117486258186
2760.0000	93205833.809546	-2.071523578678
2820.0000	93205710.958097	-2.023124636042
2880.0000	93205591.081290	-1.972394371271
2940.0000	93205474.315640	-1.919433725622
3000.0000	93205360.791707	-1.864339535820
3060.0000	93205250.635444	-1.807204777124
3120.0000	93205143.966237	-1.748118965098
3180.0000	93205040.898556	-1.687167864120
3240.0000	93204941.541728	-1.624434103929
3300.0000	93204846.000407	-1.559997000486
3360.0000	93204754.374680	-1.493933154603
3420.0000	93204666.759773	-1.426316236552
3480.0000	93204583.246404	-1.357217426662
3540.0000	93204503.921716	-1.286705583629
3600.0000	93204428.868724	-1.214847306862
3660.0000	93204358.165776	-1.141707254004
3720.0000	93204291.888035	-1.067348265618
3780.0000	93204230.107186	-0.991831651027
3840.0000	93204172.890232	-0.915217418551
3900.0000	93204120.301794	-0.837564195633
3960.0000	93204072.402180	-0.758929673331
4020.0000	93204029.248815	-0.679370812262
4080.0000	93203990.895098	-0.598943983792
4140.0000	93203957.391724	-0.517705152632
4200.0000	93203928.785644	-0.435710082762
4260.0000	93203905.120661	-0.353014669684
4320.0000	93203886.436508	-0.269674957265
4380.0000	93203872.771388	-0.185747505255
4440.0000	93203864.157729	-0.101289558059
4500.0000	93203860.626095	-0.016359388327
4560.0000	93203862.202750	0.068983746996
4620.0000	93203868.911338	0.154679047581
4680.0000	93203880.770187	0.240663986299
4740.0000	93203897.795189	0.326874311095
4800.0000	93203919.998254	0.413243404906
4860.0000	93203947.386312	0.499702220375
4920.0000	93203979.962741	0.586179047378
4980.0000	93204017.726436	0.672598986862
5040.0000	93204060.671982	0.758883789619
5100.0000	93204108.788178	0.844951610347
5160.0000	93204162.060124	0.930716461495
5220.0000	93204220.466429	1.016088137611
5280.0000	93204283.980731	1.100971634776
5340.0000	93204352.571179	1.185266900903
5400.0000	93204426.198951	1.268868494185
5460.0000	93204504.819187	1.351665135829
5520.0000	93204588.380488	1.433539304784
5580.0000	93204676.823176	1.514367020612
5640.0000	93204770.081039	1.594017331873
5700.0000	93204868.078879	1.672351932011
5760.0000	93204970.733914	1.749224760742
5820.0000	93205077.953584	1.824481869715
5880.0000	93205189.636093	1.897960875239
5940.0000	93205305.670099	1.969490514949
6000.0000	93205425.932360	2.038890836956
6060.0000	93205550.290453	2.105972623738
6120.0000	93205678.598729	2.170537149220
6180.0000	93205810.700290	2.232376552991
6240.0000	93205946.425239	2.291273202082
6300.0000	93206085.589820	2.347000285096
6360.0000	93206227.997081	2.399321835524
6420.0000	93206373.435315	2.447993045207
6480.0000	93206521.678146	2.492760886940
6540.0000	93206672.483539	2.533364803290
6600.0000	93206825.593273	2.569537488109
6660.0000	93206980.733969	2.601006180993
6720.0000	93207137.614492	2.627494072438
6780.0000	93207295.927960	2.648721871699
6840.0000	93207455.350344	2.664409863600
6900.0000	93207615.540968	2.674280157859
6960.0000	93207776.142110	2.678059406915
7020.0000	93207936.780815	2.675481643596
7080.0000	93208097.067772	2.666291768329
7140.0000	93208256.598750	2.650248895840
7200.0000	93208414.956044	2.627130485575
7260.0000	93208571.708851	2.596736534586
7320.0000	93208726.415353	2.558893800025
7380.0000	93208878.624195	2.513460345366
7440.0000	93209027.876619	2.460330359092
7500.0000	93209173.708639	2.399438409830
7560.0000	93209315.653768	2.330763848986
7620.0000	93209453.245093	2.254334997641
9600.0000	93209764.716162	-1.896013329625
9660.0000	93209648.641950	-1.972090833857
9720.0000	93209528.188062	-2.042022280520
9780.0000	93209403.721358	-2.105856626840
9840.0000	93209275.605840	-2.163665668752
9900.0000	93209144.200098	-2.215540899646
9960.0000	93209009.857360	-2.261590818607
10020.0000	93208872.923358	-2.301938129964
10080.0000	93208733.736168	-2.336717003919
10140.0000	93208592.625703	-2.366071375897
10200.0000	93208449.913156	-2.390152235441
10260.0000	93208305.909903	-2.409116086255
10320.0000	93208160.918321	-2.423123128610
10380.0000	93208015.230999	-2.432336129746
10440.0000	93207869.130530	-2.436918624136
10500.0000	93207722.890115	-2.437034190725
10560.0000	93207576.772549	-2.432845390590
10620.0000	93207431.031720	-2.424512924976
10680.0000	93207285.910971	-2.412194879489
10740.0000	93207141.644837	-2.396046533003
10800.0000	93206998.458681	-2.376219358447
10860.0000	93206856.569074	-2.352861201873
10920.0000	93206716.183192	-2.326115588007
10980.0000	93206577.500131	-2.296121792807
11040.0000	93206440.710825	-2.263014664884
11100.0000	93206305.998122	-2.226924470883
11160.0000	93206173.537028	-2.187976827583
11220.0000	93206043.495395	-2.146292835150
11280.0000	93205916.034252	-2.101989170928
11340.0000	93205791.307066	-2.055177905191
11400.0000	93205669.460930	-2.005966865262
11460.0000	93205550.636963	-1.954459652079
11520.0000	93205434.969599	-1.900755716786
11580.0000	93205322.588326	-1.844950602947
11640.0000	93205213.615782	-1.787136058942
11700.0000	93205108.170408	-1.727400191462
11760.0000	93205006.364489	-1.665827833274
11820.0000	93204908.305818	-1.602500357328
11880.0000	93204814.097758	-1.537496248287
11940.0000	93204723.838551	-1.470890893192
